,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
secret,0.01,0.01,0.01,37.93184191563285,0.01,0.01,6.088158084357606,0.01,0.01,0.01,0.01
spnego,0.01,0.01,0.01,16.009999999993514,0.01,0.01,0.01,0.01,0.01,0.01,0.01
securely,0.01,0.01,0.01,6.009999999993778,0.01,0.01,0.01,0.01,0.01,0.01,0.01
sed,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999922957,0.01,0.01,0.01,0.01
spn,0.01,1.0099999999789517,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999953195
seekable,0.01,0.01,1.7328047650213576,1.2871952349499438,0.01,0.01,0.01,0.01,0.01,0.01,0.01
secondly,0.01,2.00999999998269,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
scratch,0.01,0.01,0.01,0.01,0.01,0.01,10.00999999999594,0.01,0.01,4.009999999992401,0.01
scoped,0.01,3.0099999999913045,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
spread,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999993052,0.01,0.01,0.01,0.01
sse,0.01,0.01,1.0099999999979365,0.01,0.01,0.01,0.01,0.01,0.01,11.009999999995015,0.01
satisfactory,0.01,1.0099999999937734,0.01,1.0099999999893008,0.01,0.01,0.01,0.01,0.01,0.01,0.01
satisfied,0.01,3.0293559466878395,0.01,0.01,1.9906440533024161,0.01,0.01,0.01,0.01,0.01,0.01
satisfies,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.0099999999892555,0.01
satisfy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999988942
saw,0.01,6.296412449723263,0.01,0.01,0.01,0.01,1.9472506028258079,1.7863369474382869,0.01,0.01,0.01
say,0.01,0.01,1.0740967116235594,1.202940631515542,0.01,0.01,9.949734528249495,3.4809328645070092,0.01,0.01,5.342295264077568
scan,0.01,8.597886952548048,10.761724450428158,0.01,0.01,0.01,8.67038859700675,0.01,0.01,0.01,0.01
scanner,0.01,0.01,1.009999999996833,4.009999999990228,0.01,0.01,0.01,0.01,0.01,0.01,0.01
scatter,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999967371,0.01,0.01,0.01
scattergather,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999995982,0.01,0.01,0.01,0.01
src,0.01,0.01,0.01,0.01,0.01,1.555134955462908,0.01,6.040460485914554,0.01,1.434404558596023,0.01
schedule,0.01,42.05844387492572,0.01,0.01,0.01,0.01,15.396158189707668,0.01,4.093735402354954,1.0813033413698019,1.4203591916234912
scheduler,0.01,94.0099999999944,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
schema,0.01,0.01,0.01,3.947851883825218,0.01,0.01,0.01,0.01,0.01,6.24860474587451,1.8335433702887458
seekread,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999939,0.01,0.01,0.01,0.01
segment,0.01,0.01,0.01,0.01,0.01,0.01,9.833305403932556,2.1866945960503266,0.01,0.01,0.01
select,0.01,0.01,0.01,0.01,0.01,0.01,12.493618831651297,0.01,0.01,0.01,27.526381168330207
selection,0.01,4.668451023616334,0.01,0.01,0.01,0.01,0.01,0.01,2.3515489763682154,0.01,0.01
splittability,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999791116,0.01,0.01,0.01
serializer,0.01,0.01,0.01,3.0099999999939,0.01,0.01,0.01,0.01,0.01,0.01,0.01
serializerdeserializer,0.01,0.01,0.01,1.0099999999937166,0.01,0.01,0.01,0.01,0.01,0.01,1.009999999993807
serially,0.01,7.009999999993095,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
series,0.01,0.01,0.01,0.01,0.01,0.01,1.3590719029412321,0.01,0.01,2.6384691397772246,1.0324589572681713
split,0.01,5.563655101755761,0.01,1.444938591461614,0.01,0.01,0.01,15.566843539148294,28.111399423836215,22.363163343778414,0.01
servlet,0.01,0.01,0.01,15.00999999999124,0.01,0.01,0.01,0.01,0.01,0.01,0.01
set,0.01,74.37403627599424,0.01,43.148842892056244,25.311960410674303,0.01,21.62008295115916,38.07891787054288,11.47070343496589,33.40709873350615,34.668357431081226
spirit,0.01,0.01,1.00999999999821,0.01,0.01,0.01,0.01,0.01,0.01,1.00999999999407,0.01
settingslocal,0.01,0.01,0.01,0.01,0.01,9.009999999999176,0.01,0.01,0.01,0.01,0.01
spike,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999941,1.0099999999940374,0.01,0.01,0.01
severity,0.01,0.01,8.009999999998609,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999944733,0.01
sge,0.01,5.009999999993313,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
sguard,0.01,0.01,0.01,0.01,34.36310280242488,0.01,0.01,3.656897197568055,0.01,0.01,0.01
shade,0.01,0.01,13.009999999995955,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
serializationdeserialization,0.01,0.01,0.01,4.0099999999907645,0.01,0.01,0.01,0.01,0.01,0.01,0.01
shame,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999991302,0.01,0.01,0.01,0.01
serialization,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,39.00999999999453,0.01
serde,0.01,0.01,0.01,4.0099999999961184,0.01,0.01,1.009999999993202,0.01,0.01,0.01,0.01
selector,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999979391,0.01,0.01,0.01,0.01
selects,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.0099999999920435,0.01,0.01,0.01
self,0.01,5.5214196172069165,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.498580382781625
semantics,0.01,5.222157018188391,3.402567665292162,1.279812452479523,0.01,0.01,0.01,0.01,0.01,11.135462864014956,0.01
sense,0.01,9.277664817462835,0.01,6.022267711207017,0.01,0.01,3.747129213980148,0.01,6.280752793310669,3.7221854640180285,0.01
sensitive,0.01,0.01,0.01,4.95727396052106,0.01,0.01,0.01,0.01,0.01,0.01,1.0627260394569134
splitting,0.01,0.01,2.789008227929508,0.01,0.01,1.0099999999954798,0.01,8.230991772060893,0.01,0.01,0.01
splittable,0.01,0.01,17.009999999995337,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
separation,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999982875,0.01,0.01,0.01,0.01
seq,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999950144,0.01,0.01,0.01,0.01
sequence,0.01,1.231374420615584,0.01,0.01,0.01,0.01,3.4330017622195794,6.920738632234984,0.01,22.810190695948076,6.65469448896393
sequencefile,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.8202789227186016,1.1997210772732256
sequencefiles,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999995841
sequential,0.01,0.01,0.01,0.01,6.991474691640434,0.01,0.01,1.028525308354711,1.009999999998388,0.01,0.01
sequentially,0.01,1.1426721086208056,0.01,0.01,0.01,0.01,4.877327891359177,0.01,0.01,0.01,0.01
serf,0.01,0.01,0.01,1.1823558101675122,0.01,0.01,0.01,0.01,0.01,0.01,4.83764418981734
strict,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.0099999999918925
refactors,0.01,0.01,0.01,2.0099999999941955,0.01,2.009999999998975,0.01,0.01,0.01,0.01,0.01
stricter,0.01,0.01,0.01,1.0099999999842113,0.01,0.01,0.01,1.0099999999945684,0.01,0.01,0.01
populates,0.01,2.0099999999923104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
port,0.01,0.01,25.116600957887428,38.38773750140045,0.01,0.01,0.01,0.01,0.01,0.01,1.525661540698594
portion,0.01,1.6190870272783175,0.01,0.01,0.01,1.4909843010690693,2.928596204131476,6.001332467500516,0.01,0.01,0.01
position,0.01,0.01,0.01,0.01,0.01,1.6743946644561105,0.01,0.01,0.01,22.345605335530255,0.01
positional,0.01,0.01,0.01,0.01,0.01,5.009999999995158,0.01,0.01,0.01,0.01,0.01
positive,0.01,0.01,0.01,0.01,0.01,0.01,5.0099999999897395,0.01,0.01,0.01,0.01
populate,0.01,4.28562105458211,0.01,0.01,0.01,0.01,4.734378945402099,0.01,0.01,0.01,0.01
possibility,0.01,0.01,0.01,0.01,0.01,1.1780340473430353,5.841965952646044,0.01,0.01,0.01,0.01
possibly,0.01,0.01,0.01,2.198859869830107,0.01,3.343123801216702,3.4880163289335795,0.01,0.01,0.01,0.01
postpone,0.01,2.009999999991065,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
potential,0.01,1.5880465855926351,0.01,1.3587123636038418,0.01,0.01,4.219898763257639,9.665928996117795,0.01,0.01,2.2174132914043647
success,0.01,3.990054944498225,0.01,0.01,0.01,0.01,0.01,1.0341668633118322,0.01,4.891294098063218,4.124484094108348
power,0.01,0.01,0.01,2.538277334637921,0.01,0.01,2.481722665348751,0.01,0.01,0.01,0.01
powerful,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999899234,0.01,0.01,0.01,0.01
successful,0.01,4.009999999992849,0.01,0.01,0.01,0.01,2.899751196860329,0.01,0.01,0.01,3.1202488031272635
popular,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999965872
poolusing,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999995393,0.01,0.01,0.01,0.01
pool,0.01,38.992079065404106,0.01,0.01,0.01,5.495378294350732,2.2883308980407184,0.01,0.01,14.26421174218516,0.01
planning,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.277333063516141,0.01,5.742666936471509
plea,0.01,0.01,0.01,2.0099999999958005,0.01,0.01,0.01,0.01,0.01,0.01,0.01
plug,0.01,2.2411154130246485,0.01,20.778884586962484,0.01,0.01,0.01,0.01,0.01,0.01,0.01
suffer,0.01,1.009999999995345,0.01,0.01,0.01,0.01,3.0099999999882328,0.01,0.01,0.01,0.01
suddenly,0.01,0.01,0.01,1.0099999999918627,0.01,0.01,1.009999999991384,0.01,0.01,0.01,0.01
plugins,0.01,0.01,0.01,4.484762403804871,0.01,0.01,0.01,0.01,0.01,0.01,4.535237596181349
plumbing,0.01,1.0099999999876814,2.009999999998753,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
plus,0.01,0.01,0.01,0.01,0.01,0.01,5.004375437430946,1.719034462538972,0.01,0.01,2.3065901000124738
po,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999985206,0.01,0.01,0.01,0.01
poc,0.01,2.0099999999862903,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999957938,0.01,0.01
successfully,0.01,12.668446672731395,0.01,2.3515533272531304,0.01,0.01,0.01,0.01,0.01,0.01,0.01
policiesuser,0.01,0.01,0.01,0.01,0.01,9.009999999999176,0.01,0.01,0.01,0.01,0.01
policyhdfs,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999951272,0.01,0.01,0.01,0.01
pollute,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999947067,0.01,0.01,0.01,0.01
pom,0.01,1.3960959092870138,0.01,5.623904090701733,0.01,0.01,1.0099999999877007,0.01,0.01,0.01,0.01
pr,0.01,3.0099999999887674,3.009999999996032,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
practical,0.01,0.01,0.01,0.01,0.01,0.01,5.0099999999786204,0.01,0.01,0.01,0.01
practice,0.01,0.01,1.0099999999971196,6.035243776715225,0.01,0.01,0.01,0.01,0.01,2.984756223266453,0.01
pre,0.01,5.347245887568656,0.01,5.393342509669811,0.01,0.01,5.573847150348142,5.7703360458369115,0.01,0.01,1.9652284065571468
presence,0.01,0.01,0.01,0.01,0.01,0.01,1.009999999986614,0.01,0.01,0.01,4.0099999999941875
present,0.01,9.623772529407178,0.01,1.4450133907546918,0.01,0.01,8.222256124563414,5.574067134563559,0.01,0.01,11.184890820686592
presentation,0.01,1.009999999991879,0.01,0.01,0.01,0.01,3.009999999976271,0.01,0.01,0.01,0.01
presently,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999917109,0.01,0.01,0.01,2.0099999999959977
preserve,0.01,13.431187299426286,0.01,1.2708097610456734,0.01,0.01,0.01,0.01,2.9211401522098988,0.01,5.416862787295411
pressure,0.01,0.01,0.01,0.01,0.01,0.01,6.009999999990984,0.01,0.01,0.01,0.01
pretty,0.01,0.01,0.01,0.01,1.125426542213057,0.01,6.8063418553030415,2.0982316024737444,0.01,3.0099999999944145,0.01
prevalent,0.01,2.009999999990826,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
prevent,0.01,22.520458087100874,0.01,7.627762478905874,3.302361240256836,1.8384345641450996,3.8537743535890976,4.91720927598354,0.01,0.01,0.01
prevention,0.01,0.01,0.01,2.009999999993723,0.01,0.01,0.01,0.01,0.01,0.01,0.01
subtasks,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999973515
preview,0.01,0.01,0.01,2.00999999998276,0.01,0.01,0.01,0.01,0.01,0.01,0.01
subtask,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999950235,0.01,0.01,0.01,1.0099999999703604
previously,0.01,5.567910312096551,0.01,0.01,0.01,0.01,4.452089687889279,0.01,0.01,0.01,0.01
primarily,0.01,0.01,0.01,5.3879201389479165,0.01,0.01,0.01,0.01,0.01,0.01,1.6320798610396625
preparation,0.01,2.0099999999891294,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
plan,0.01,0.01,0.01,0.01,0.01,5.104010778931989,0.01,0.01,0.01,0.01,27.915989221055813
preliminary,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999994888,3.009999999990535
prefixed,0.01,2.0099999999777505,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
pread,0.01,0.01,0.01,0.01,0.01,5.685163797396811,2.3348362025814002,0.01,0.01,0.01,0.01
preads,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999992603,0.01,0.01,0.01,0.01
precede,0.01,0.01,0.01,0.01,0.01,0.01,1.1445327870694004,0.01,0.01,0.8754672129208676,0.01
precommit,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999993273,0.01,0.01,0.01
precondition,0.01,0.01,0.01,5.009999999992583,0.01,0.01,0.01,0.01,0.01,0.01,0.01
predefined,0.01,1.009999999992614,0.01,0.01,0.01,0.01,0.01,0.01,1.2734151723953329,0.01,1.7465848275956404
predicate,0.01,1.0099999999946978,0.01,0.01,0.01,0.01,0.01,2.009999999992453,0.01,0.01,0.01
preempt,0.01,3.0099999999966283,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
preemption,0.01,2.0099999999955416,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
prefer,0.01,4.121535793866055,0.01,0.01,0.01,0.01,3.9177068096826586,0.01,1.5686306980857165,4.43212669834348,0.01
preferable,0.01,1.1650609372963712,0.01,0.01,0.01,2.8549390626909585,0.01,0.01,0.01,0.01,0.01
succeed,0.01,11.009999999989624,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
prefetch,0.01,0.01,0.01,0.01,0.01,1.0099999999951441,0.01,0.01,0.01,0.01,1.0099999999931506
prefetching,0.01,0.01,0.01,0.01,2.009999999995838,0.01,0.01,0.01,0.01,0.01,0.01
prefix,0.01,0.01,6.530126565904195,13.489873434077431,0.01,0.01,0.01,0.01,0.01,0.01,0.01
subtree,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.1184060773072133,2.901593922677269
primary,0.01,17.50278990461367,0.01,0.01,0.01,0.01,10.701514683309686,0.01,0.01,0.01,3.8256954120559445
suffice,0.01,1.009999999979571,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999963054,0.01
placement,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.6865403117843374,6.333459688211609,1.0099999999968607,0.01
partitioned,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999986384,0.01
partitioner,0.01,0.01,0.01,0.01,0.01,0.01,7.009999999993223,0.01,0.01,0.01,0.01
partly,0.01,2.0099999999930658,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
sum,0.01,9.203592474241587,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.8164075257499457
pas,0.01,1.044362939935603,0.01,0.01,0.01,0.01,0.01,6.0670063746765805,0.01,16.98070963479115,15.947921050578575
suite,0.01,0.01,0.01,3.1941108599619317,0.01,0.01,0.01,5.82588914002732,0.01,0.01,0.01
particularly,0.01,1.009999999995345,0.01,4.033410677388721,0.01,0.01,0.01,0.01,0.01,3.986589322598991,0.01
passing,0.01,0.01,0.01,0.01,0.01,0.01,2.337389917995622,0.01,0.01,9.682610081991912,0.01
past,0.01,0.01,0.01,3.076414114140871,1.970425535698375,0.01,2.872225521202174,1.1209348289425256,0.01,0.01,0.01
patch,0.01,19.0542622434767,19.560662257637997,56.976010903316926,0.01,7.690162771500941,25.71987525128497,19.20198690312881,0.01,9.86703966963527,0.01
suit,0.01,0.01,0.01,0.01,1.0099999999985465,0.01,2.0099999999947076,0.01,0.01,0.01,2.0099999999953524
pathname,0.01,0.01,0.01,0.01,0.01,0.01,2.127262017455868,0.01,0.01,0.01,3.892737982534573
suggests,0.01,0.01,0.01,0.01,0.01,0.01,1.2364447827439256,0.01,0.01,1.7835552172426765,0.01
pause,0.01,0.01,0.01,0.01,1.0235468307129765,0.01,0.01,11.996453169278853,0.01,0.01,0.01
suitable,0.01,0.01,0.01,3.3911681274078855,0.01,0.01,2.009999999993399,0.01,0.01,1.0099999999968672,2.62883187258016
particular,0.01,13.80248456615968,0.01,9.7293064653205,0.01,0.01,6.650007300325581,0.01,0.01,14.280183396133179,8.58801827203835
participate,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999884446,0.01
partially,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999985605,0.01
sun,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999972878,0.01,0.01,0.01,2.0099999999885374
paper,0.01,0.01,0.01,0.01,0.01,0.01,3.5811579314762643,1.0099999999918314,0.01,0.01,1.4388420685162244
par,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999940836,0.01
parallel,0.01,7.661185896327662,0.01,0.01,0.01,0.01,15.954494182629984,19.038883390605353,3.767007901035274,12.62842862938685,0.01
parallelism,0.01,4.9630529479349175,0.01,0.01,0.01,0.01,1.056947052049189,0.01,0.01,0.01,0.01
parallelize,0.01,0.01,0.01,0.01,0.01,0.01,1.055550889621466,4.9644491103681645,0.01,0.01,0.01
param,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.009999999997444,0.01
summary,0.01,0.01,1.0099999999971196,0.01,0.01,0.01,0.01,0.01,1.0099999999989717,0.01,3.0099999999911895
parameterized,0.01,2.0099999999887608,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
params,0.01,0.01,0.01,0.01,7.009999999998323,0.01,0.01,0.01,0.01,0.01,0.01
parent,0.01,0.01,0.01,3.0412468558321684,0.01,1.0653779390564906,9.004365194665324,0.01,0.01,22.92901001042872,0.01
parity,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999894078,3.009999999991814,0.01,0.01,0.01
parquet,0.01,0.01,2.325988282124249,0.01,0.01,3.694011717858986,0.01,0.01,0.01,0.01,0.01
parsable,0.01,0.01,0.01,0.01,2.0099999999957485,0.01,0.01,0.01,0.01,0.01,0.01
partial,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.009999999996968,0.01,0.01,2.009999999995775
pay,0.01,0.01,0.01,0.01,0.01,1.071156750380761,4.9488432496074095,0.01,0.01,0.01,0.01
pb,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999928846,0.01
peak,0.01,3.0099999999926834,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
peer,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999912477,0.01,0.01,0.01,1.0099999999959004
persistently,0.01,4.009999999989838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
persists,0.01,2.0099999999797866,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
perspective,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.00999999999497
pgp,0.01,0.01,2.0099999999971683,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
phase,0.01,6.318447488023149,0.01,0.01,0.01,8.597593649104708,5.824110595057859,1.3022504407399254,0.01,0.01,8.00759782705057
phrase,0.01,0.01,0.01,0.01,0.01,0.01,4.0099999999917655,0.01,0.01,0.01,0.01
physical,0.01,0.01,0.01,0.01,0.01,0.01,8.009999999991958,0.01,0.01,0.01,0.01
pick,0.01,0.01,0.01,0.01,2.5889918583974088,0.01,9.346680734675308,3.8020284495411083,0.01,0.01,9.302298957368276
picked,0.01,3.0099999999924423,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
pid,0.01,12.009999999993846,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
piece,0.01,0.01,0.01,6.895570806985087,0.01,0.01,4.6390529485203675,0.01,0.01,0.01,1.495376244466067
pipeline,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9.009999999994655,0.01,0.01,0.01
pipelined,0.01,0.01,0.01,1.009999999979686,0.01,1.009999999997118,0.01,0.01,0.01,0.01,0.01
pki,0.01,0.01,0.01,0.01,0.01,0.01,3.3688158644309145,0.01,0.01,2.651184135555008,0.01
place,0.01,16.779373525505854,0.01,11.331217063667795,0.01,0.01,0.01,9.676158508895655,7.067353687578476,0.01,11.195897214332454
sufficient,0.01,5.794014874178512,0.01,0.01,0.01,0.01,2.6904574284615266,0.01,0.01,1.5455276973379894,0.01
placementremoval,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999951272,0.01,0.01,0.01,0.01
persistence,0.01,2.0099999999895175,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
permit,0.01,0.01,3.142745033870549,5.482560332185176,0.01,1.5718937506053214,0.01,9.351599004571257,0.01,0.01,4.501201878742824
penalty,0.01,1.009999999994637,0.01,0.01,0.01,0.01,1.00999999999329,0.01,0.01,0.01,0.01
pending,0.01,13.70987732721499,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.3101226727767874,0.01
people,0.01,7.334508077561651,0.01,11.480105371657283,0.01,0.01,0.01,4.3370139373006795,0.01,0.01,4.888372613460697
percentage,0.01,3.119106093225278,0.01,0.01,2.0571943108281343,0.01,0.01,2.8536995959362064,0.01,0.01,0.01
perf,0.01,0.01,0.01,0.01,0.01,0.01,6.009999999989467,0.01,0.01,0.01,0.01
perfect,0.01,0.01,0.01,0.01,0.01,0.01,2.8557169555177446,1.1642830444707983,0.01,0.01,0.01
perform,0.01,13.94116387666987,0.01,2.7571683052966742,7.053080694623839,5.956634033204093,18.735001500553054,0.01,0.01,13.42628139685803,5.20067019277301
performant,0.01,0.01,0.01,0.01,0.01,2.1840478927274365,1.835952107260923,0.01,0.01,0.01,0.01
suggest,0.01,0.01,5.158244342574694,8.794952157675242,0.01,0.01,5.273962904102539,3.6698318790971287,0.01,0.01,6.1530087165277045
period,0.01,6.540790197448969,0.01,0.01,0.01,0.01,0.01,7.4425076801751535,0.01,0.01,3.0467021223622086
periodic,0.01,6.0099999999938305,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
periodically,0.01,13.888620617392307,0.01,0.01,0.01,0.01,2.8783768685408835,2.830558502349907,0.01,0.01,1.4424440116991588
periodicity,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999985945,0.01,0.01,0.01,0.01
permanent,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999724734,1.0099999999959433,0.01,0.01,0.01
suffix,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999990462
persist,0.01,7.621615144713234,0.01,0.01,0.01,0.01,3.2669740787754504,0.01,0.01,2.141410776481624,0.01
hpc,0.01,3.0099999999905913,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
subsystem,0.01,0.01,0.01,0.01,0.01,0.01,2.261359880590671,0.01,0.01,0.01,3.758640119400573
prior,0.01,0.01,0.01,0.01,0.01,0.01,4.0099999999863165,0.01,0.01,0.01,0.01
ratio,0.01,0.01,0.01,0.01,0.01,0.01,2.300635302678303,2.719364697311611,0.01,0.01,2.0099999999880245
rationale,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999990441,0.01,0.01,0.01,0.01
rbf,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999994983,0.01,0.01,0.01,1.0099999999953326
rc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999993541
rd,0.01,1.4433825839187198,0.01,0.01,0.01,0.01,2.1940889990278962,0.01,0.01,0.01,2.3925284170325094
reach,0.01,4.333099663144414,0.01,0.01,0.01,0.01,4.074449557263184,3.020953020149844,0.01,0.01,2.611497759423212
rate,0.01,0.01,0.01,0.01,0.01,0.01,16.00999999999259,0.01,0.01,0.01,0.01
reaction,0.01,3.009999999986308,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
stuck,0.01,5.009999999991755,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
readily,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999757387
readlong,0.01,0.01,0.01,0.01,0.01,2.009999999993283,0.01,0.01,0.01,0.01,0.01
readme,0.01,1.009999999988997,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999945022
readwrite,0.01,1.2322490287380865,0.01,0.01,0.01,0.01,4.959363459750525,0.01,0.01,0.01,3.8383875114872126
readwrites,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999924725,0.01,0.01,0.01,1.0099999999948934
readahead,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999995312,0.01,0.01,0.01,0.01
rarely,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999869644,0.01,0.01,0.01,0.01
rare,0.01,3.0099999999864635,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999963054,0.01
rank,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999991639,0.01,0.01,0.01,0.01
stuff,0.01,1.4535804018605476,0.01,0.01,0.01,0.01,7.566419598126337,0.01,0.01,0.01,0.01
race,0.01,3.9048423960486462,0.01,0.01,0.01,0.01,3.6260572016787953,2.4991004022593026,0.01,0.01,0.01
rack,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,50.0099999999956,0.01,0.01
radically,0.01,0.01,0.01,2.0099999999856473,0.01,0.01,0.01,0.01,0.01,0.01,0.01
raid,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999990096,0.01,0.01,0.01,0.01
raise,0.01,6.049383152269349,2.79946122555299,0.01,0.01,0.01,6.401589496151478,3.719954925645376,0.01,0.01,2.0796112003576206
ram,0.01,0.01,0.01,0.01,0.01,5.009999999996329,0.01,0.01,0.01,0.01,0.01
ramp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999906237,0.01,0.01,0.01
ran,0.01,0.01,0.01,1.0099999999815614,0.01,0.01,1.0099999999945104,2.0099999999902796,0.01,0.01,0.01
